# 虫の 絵の 一覧。1行 1まい：ファイル名 | 英語の プロンプト（共通の 条件は make_mushi_gen.py が 足す）
semi_yoko | large brown cicada (aburazemi, Graptopsaltria nigrofuscata), side view, resting, opaque brown wings folded over the back
semi_ue | large brown cicada (aburazemi), top view, wings folded
kabuto_yoko | male Japanese rhinoceros beetle (kabutomushi, Trypoxylus dichotomus), side view, large forked horn clearly visible, standing, glossy dark brown shell
kabuto_ue | male Japanese rhinoceros beetle (kabutomushi), top view, horn and shell fully visible
kabuto_mae | male Japanese rhinoceros beetle (kabutomushi), front view facing the camera, horn raised, legs braced as if pushing an opponent
kabuto_naname | male Japanese rhinoceros beetle (kabutomushi), three-quarter front view from slightly above, hero pose, highest detail
kabuto_tobu | male Japanese rhinoceros beetle (kabutomushi), in flight, side view, elytra open and hind wings spread, legs tucked
kabuto_mesu | female Japanese rhinoceros beetle (no horn, matte dark brown shell), side view, standing
kuwagata_yoko | male sawtooth stag beetle (nokogiri kuwagata, Prosopocoilus inclinatus), side view, long serrated mandibles, reddish-brown shell, standing
kuwagata_ue | male sawtooth stag beetle (nokogiri kuwagata), top view, mandibles open
kuwagata_mae | male sawtooth stag beetle (nokogiri kuwagata), front view facing the camera, mandibles wide open, legs braced
tonbo_ue | male white-tailed skimmer dragonfly (shiokara tonbo, Orthetrum albistriatum), powder-blue abdomen, top view, all four transparent wings spread flat
tonbo_yoko | male white-tailed skimmer dragonfly (shiokara tonbo), powder-blue abdomen, in flight, side view, wings spread horizontally
oniyanma_ue | golden-ringed dragonfly (oniyanma, Anotogaster sieboldii), black body with bold yellow stripes and green eyes, top view, all four transparent wings spread flat
oniyanma_yoko | golden-ringed dragonfly (oniyanma), black body with yellow stripes, in flight, side view, wings spread horizontally
chou_ue | Asian swallowtail butterfly (namiageha, Papilio xuthus), pale yellow wings with black stripes and small blue and orange spots, top view, wings fully open and flat
chou_yoko | Asian swallowtail butterfly (namiageha), in flight, side view, wings raised upward mid-flap so both wings are visible above the body
batta_yoko | Chinese grasshopper (shouryou batta, Acrida cinerea), slender green body with a long pointed head, side view, long hind legs visible, standing
batta_ue | Chinese grasshopper (shouryou batta), top view, legs visible
hotaru_yoko | Genji firefly (genji botaru, Luciola cruciata), black wing covers with a red pronotum, side view, resting, NOT glowing
hotaru_ue | Genji firefly (genji botaru), top view, NOT glowing
